RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597139289530	 	3.0.3
REQUEST	82		requestAggregation	1597139292946	1597139293312	OK	 
REQUEST	88		requestAggregation	1597139293042	1597139293329	OK	 
REQUEST	93		requestAggregation	1597139293138	1597139293329	OK	 
USER	AggRestSimulation	106	START	1597139293334	1597139293334
REQUEST	104		login	1597139293294	1597139293334	OK	 
REQUEST	90		requestAggregation	1597139293074	1597139293339	OK	 
USER	AggRestSimulation	107	START	1597139293355	1597139293355
REQUEST	105		login	1597139293314	1597139293358	OK	 
USER	AggRestSimulation	108	START	1597139293375	1597139293375
REQUEST	106		login	1597139293335	1597139293375	OK	 
USER	AggRestSimulation	109	START	1597139293390	1597139293390
REQUEST	107		login	1597139293356	1597139293397	OK	 
REQUEST	92		requestAggregation	1597139293112	1597139293402	OK	 
REQUEST	96		requestAggregation	1597139293202	1597139293404	OK	 
USER	AggRestSimulation	110	START	1597139293411	1597139293411
REQUEST	98		requestAggregation	1597139293230	1597139293416	OK	 
REQUEST	108		login	1597139293376	1597139293416	OK	 
REQUEST	109		login	1597139293391	1597139293431	OK	 
USER	AggRestSimulation	111	START	1597139293431	1597139293431
REQUEST	95		requestAggregation	1597139293179	1597139293431	OK	 
REQUEST	94		requestAggregation	1597139293157	1597139293442	OK	 
REQUEST	110		login	1597139293412	1597139293451	OK	 
USER	AggRestSimulation	112	START	1597139293452	1597139293452
USER	AggRestSimulation	113	START	1597139293472	1597139293472
REQUEST	111		login	1597139293433	1597139293477	OK	 
REQUEST	97		requestAggregation	1597139293217	1597139293484	OK	 
REQUEST	101		requestAggregation	1597139293294	1597139293489	OK	 
USER	AggRestSimulation	114	START	1597139293493	1597139293493
REQUEST	112		login	1597139293453	1597139293495	OK	 
USER	AggRestSimulation	115	START	1597139293514	1597139293514
REQUEST	113		login	1597139293473	1597139293514	OK	 
USER	AggRestSimulation	116	START	1597139293535	1597139293535
REQUEST	114		login	1597139293494	1597139293535	OK	 
REQUEST	100		requestAggregation	1597139293272	1597139293545	OK	 
USER	AggRestSimulation	117	START	1597139293555	1597139293555
REQUEST	103		requestAggregation	1597139293317	1597139293555	OK	 
REQUEST	115		login	1597139293515	1597139293557	OK	 
REQUEST	102		requestAggregation	1597139293301	1597139293561	OK	 
REQUEST	99		requestAggregation	1597139293251	1597139293566	OK	 
REQUEST	106		requestAggregation	1597139293376	1597139293568	OK	 
USER	AggRestSimulation	118	START	1597139293570	1597139293570
REQUEST	116		login	1597139293536	1597139293575	OK	 
USER	AggRestSimulation	119	START	1597139293590	1597139293590
REQUEST	104		requestAggregation	1597139293335	1597139293592	OK	 
REQUEST	108		requestAggregation	1597139293418	1597139293595	OK	 
REQUEST	117		login	1597139293556	1597139293597	OK	 
REQUEST	118		login	1597139293572	1597139293609	OK	 
USER	AggRestSimulation	120	START	1597139293611	1597139293611
REQUEST	105		requestAggregation	1597139293359	1597139293624	OK	 
REQUEST	119		login	1597139293591	1597139293631	OK	 
USER	AggRestSimulation	121	START	1597139293632	1597139293632
REQUEST	107		requestAggregation	1597139293398	1597139293632	OK	 
REQUEST	120		login	1597139293612	1597139293649	OK	 
USER	AggRestSimulation	122	START	1597139293653	1597139293653
USER	AggRestSimulation	123	START	1597139293673	1597139293673
REQUEST	111		requestAggregation	1597139293484	1597139293684	OK	 
REQUEST	121		login	1597139293633	1597139293685	OK	 
REQUEST	110		requestAggregation	1597139293452	1597139293685	OK	 
REQUEST	112		requestAggregation	1597139293498	1597139293689	OK	 
