RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597138791708	 	3.0.3
REQUEST	132		requestAggregation	1597138795916	1597138796336	OK	 
REQUEST	134		requestAggregation	1597138795949	1597138796342	OK	 
USER	AggRestSimulation	156	START	1597138796344	1597138796344
REQUEST	154		login	1597138796308	1597138796347	OK	 
REQUEST	155		login	1597138796323	1597138796358	OK	 
USER	AggRestSimulation	157	START	1597138796365	1597138796365
REQUEST	156		login	1597138796345	1597138796384	OK	 
USER	AggRestSimulation	158	START	1597138796385	1597138796385
REQUEST	133		requestAggregation	1597138795930	1597138796388	OK	 
REQUEST	157		login	1597138796366	1597138796402	OK	 
USER	AggRestSimulation	159	START	1597138796406	1597138796406
REQUEST	158		login	1597138796386	1597138796424	OK	 
USER	AggRestSimulation	160	START	1597138796426	1597138796426
REQUEST	136		requestAggregation	1597138795985	1597138796437	OK	 
REQUEST	159		login	1597138796407	1597138796441	OK	 
REQUEST	135		requestAggregation	1597138795966	1597138796446	OK	 
USER	AggRestSimulation	161	START	1597138796447	1597138796447
REQUEST	160		login	1597138796427	1597138796464	OK	 
REQUEST	139		requestAggregation	1597138796044	1597138796466	OK	 
USER	AggRestSimulation	162	START	1597138796468	1597138796468
USER	AggRestSimulation	163	START	1597138796483	1597138796483
REQUEST	161		login	1597138796449	1597138796483	OK	 
USER	AggRestSimulation	164	START	1597138796503	1597138796503
REQUEST	162		login	1597138796469	1597138796509	OK	 
REQUEST	140		requestAggregation	1597138796064	1597138796515	OK	 
REQUEST	141		requestAggregation	1597138796086	1597138796518	OK	 
USER	AggRestSimulation	165	START	1597138796523	1597138796523
REQUEST	163		login	1597138796483	1597138796525	OK	 
REQUEST	137		requestAggregation	1597138796006	1597138796532	OK	 
REQUEST	164		login	1597138796504	1597138796540	OK	 
REQUEST	142		requestAggregation	1597138796106	1597138796540	OK	 
USER	AggRestSimulation	166	START	1597138796544	1597138796544
REQUEST	165		login	1597138796524	1597138796559	OK	 
REQUEST	144		requestAggregation	1597138796149	1597138796559	OK	 
USER	AggRestSimulation	167	START	1597138796565	1597138796565
REQUEST	138		requestAggregation	1597138796024	1597138796566	OK	 
