RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1598540231290	 	3.3.1
REQUEST	172		requestAggregation_some_products	1598540236222	1598540236443	OK	 
USER	AggRestSimulationSomeProducts	184	START	1598540236460	1598540236460
REQUEST	174		requestAggregation_some_products	1598540236263	1598540236462	OK	 
USER	AggRestSimulationSomeProducts	185	START	1598540236480	1598540236480
REQUEST	165		requestAggregation_some_products	1598540236078	1598540236498	OK	 
USER	AggRestSimulationSomeProducts	186	START	1598540236501	1598540236501
REQUEST	176		requestAggregation_some_products	1598540236304	1598540236508	OK	 
USER	AggRestSimulationSomeProducts	187	START	1598540236521	1598540236521
REQUEST	167		requestAggregation_some_products	1598540236119	1598540236521	OK	 
REQUEST	178		requestAggregation_some_products	1598540236337	1598540236531	OK	 
USER	AggRestSimulationSomeProducts	188	START	1598540236542	1598540236542
REQUEST	171		requestAggregation_some_products	1598540236201	1598540236551	OK	 
USER	AggRestSimulationSomeProducts	189	START	1598540236557	1598540236557
REQUEST	169		requestAggregation_some_products	1598540236160	1598540236563	OK	 
REQUEST	180		requestAggregation_some_products	1598540236379	1598540236589	OK	 
USER	AggRestSimulationSomeProducts	190	START	1598540236578	1598540236578
USER	AggRestSimulationSomeProducts	191	START	1598540236598	1598540236598
USER	AggRestSimulationSomeProducts	192	START	1598540236619	1598540236619
USER	AggRestSimulationSomeProducts	193	START	1598540236639	1598540236639
REQUEST	173		requestAggregation_some_products	1598540236242	1598540236647	OK	 
USER	AggRestSimulationSomeProducts	194	START	1598540236660	1598540236660
USER	AggRestSimulationSomeProducts	195	START	1598540236680	1598540236680
USER	AggRestSimulationSomeProducts	196	START	1598540236700	1598540236700
REQUEST	182		requestAggregation_some_products	1598540236420	1598540236701	OK	 
REQUEST	184		requestAggregation_some_products	1598540236461	1598540236704	OK	 
REQUEST	175		requestAggregation_some_products	1598540236283	1598540236704	OK	 
REQUEST	177		requestAggregation_some_products	1598540236318	1598540236720	OK	 
REQUEST	179		requestAggregation_some_products	1598540236358	1598540236720	OK	 
USER	AggRestSimulationSomeProducts	197	START	1598540236721	1598540236721
